22.03,-2.31,-146.23,-52.59,91.41,-5.03
-125.96,-81.55,-122.90,-148.28,117.98,-5.07
-69.18,-118.00,-76.27,-154.69,130.36,-3.85
-47.66,-125.63,-64.20,-159.89,132.41,-4.91
-30.78,-145.28,-29.51,-175.79,126.35,-6.19
-11.90,-145.28,-29.51,-175.79,126.35,-6.19
3.71,-145.29,-29.51,-175.79,113.76,-6.19
120.63,-93.83,-117.63,-155.28,58.43,-4.89
101.26,-106.33,-101.58,-155.29,50.82,-4.89
84.82,-127.12,-70.38,-164.87,59.32,-4.89
66.47,-138.55,-39.22,-171.07,59.36,-4.86
49.03,-138.55,-39.22,-171.07,59.36,-4.86
37.77,-138.55,-39.22,-171.07,68.17,-4.87
25.62,-138.55,-39.23,-171.07,83.22,-4.87
15.61,-138.55,-39.23,-171.07,92.06,-6.19
21.77,-86.68,-60.22,-116.79,89.57,-20.28


